INDEX,MAHDOUDE_NAME,MAHDOUDE_CODE,AQUIFER_NAME,LOCATION_NAME,X,Y,ZONEUTM,X_,Y_,MIN_YEAR,MAX_YEAR,LEVEL_MSL,LEVEL_SRTM
1,جوين - سلطان آباد,4740,جوین,ابراهیم آباد بالا جوین,559578,4051598,40,57.66618744,36.60803143,1374,1396,1094,1094
2,جوين - سلطان آباد,4740,جوین,اکتشافی آزادوار,475401,4066617,40,56.72445025,36.74496959,1353,1396,965,965
3,جوين - سلطان آباد,4740,جوین,اکتشافی شهرستانک,512809,4061222,40,57.14339224,36.69656712,1352,1396,1139,1139
4,جوين - سلطان آباد,4740,جوین,اکتشافی نقاب,537072,4052839,40,57.41459821,36.62035986,1352,1382,1158,1158
5,جوين - سلطان آباد,4740,جوین,ایستگاه اسفراین,556306,4049162,40,57.62942435,36.58627103,1352,1393,1070,1070
6,جوين - سلطان آباد,4740,جوین,آق قلعه,535400,4064450,40,57.39643625,36.72509327,1375,1385,1094,1094
7,جوين - سلطان آباد,4740,جوین,بین رحمت آباد و صدرآباد,578645,4044680,40,57.87866339,36.54429004,1375,1396,1133,1133
8,جوين - سلطان آباد,4740,جوین,بین فیض آباد و فراشیان,482424,4070338,40,56.80303328,36.77866958,1376,1396,978,978
9,جوين - سلطان آباد,4740,جوین,پل حکم آباد,550973,4049609,40,57.56984111,36.59060044,1372,1396,1118,1118
10,جوين - سلطان آباد,4740,جوین,جاورتن,484163,4065689,40,56.82261794,36.73679066,1378,1393,1037,1037
11,جوين - سلطان آباد,4740,جوین,جاورتن - 1,484116,4065693,40,56.82209144,36.73682593,1389,1396,1037,1037
12,جوين - سلطان آباد,4740,جوین,جبله - چاه جدید,501446,4060710,40,57.01618652,36.69203674,1372,1396,1150,1150
13,جوين - سلطان آباد,4740,جوین,جبله - غروی آباد,501173,4061101,40,57.01313115,36.69556194,1381,1384,1138,1138
14,جوين - سلطان آباد,4740,جوین,جزندر,533222,4051980,40,57.37150508,36.61275816,1372,1396,1208,1208
15,جوين - سلطان آباد,4740,جوین,جنوب امیرآباد,457824,4058274,40,56.52802353,36.66914228,1378,1396,956,956
16,جوين - سلطان آباد,4740,جوین,جنوب ایستگاه بیهق,575207,4040238,40,57.83982313,36.50452588,1371,1396,1151,1151
17,جوين - سلطان آباد,4740,جوین,جنوب ایستگاه سنخواست,497239,4065329,40,56.9690767,36.73367349,1373,1396,1067,1067
18,جوين - سلطان آباد,4740,جوین,جنوب جنبرجوق,607145,4037242,40,58.19599398,36.47447886,1373,1393,1215,1215
19,جوين - سلطان آباد,4740,جوین,جنوب دهنه شور,594498,4044225,40,58.05570077,36.53875239,1374,1396,1203,1203
20,جوين - سلطان آباد,4740,جوین,جنوب راه چمن - چاه جدید,498893,4070741,40,56.98759371,36.78246494,1384,1393,1011,1011
21,جوين - سلطان آباد,4740,جوین,جنوب رحمت آباد,571106,4042453,40,57.7942361,36.52480613,1371,1396,1141,1141
22,جوين - سلطان آباد,4740,جوین,جنوب شفیع آباد,465120,4061585,40,56.6095177,36.69928553,1378,1396,955,955
23,جوين - سلطان آباد,4740,جوین,جنوب شهرستانک,513072,4057378,40,57.1462708,36.66191031,1373,1396,1216,1216
24,جوين - سلطان آباد,4740,جوین,جنوب غربی امیرآباد,455636,4058022,40,56.50355382,36.66677105,1378,1396,957,957
25,جوين - سلطان آباد,4740,جوین,جنوب کلاته انداده,521560,4065496,40,57.24147653,36.73493801,1371,1396,1071,1071
26,جوين - سلطان آباد,4740,جوین,جنوب کلاته ترسک,517957,4058013,40,57.20094675,36.66755509,1362,1396,1176,1176
27,جوين - سلطان آباد,4740,جوین,جنوب کمایستان,528130,4054174,40,57.314645,36.63270069,1373,1396,1198,1198
28,جوين - سلطان آباد,4740,جوین,جنوب محمد آباد گفت,493240,4070222,40,56.92424442,36.77776281,1375,1392,1012,1012
29,جوين - سلطان آباد,4740,جوین,جنوب محمد آباد گفت - جدید,493258,4070204,40,56.9244463,36.77760067,1375,1393,1012,1012
30,جوين - سلطان آباد,4740,جوین,جنوب مشکان,602299,4042734,40,58.14263818,36.52451024,1372,1396,1204,1204
31,جوين - سلطان آباد,4740,جوین,چاه فرش,447095,4059672,40,56.4078678,36.68120815,1378,1396,887,887
32,جوين - سلطان آباد,4740,جوین,حاجی آباد بزازان,544222,4059190,40,57.49492465,36.67730671,1375,1396,1076,1076
33,جوين - سلطان آباد,4740,جوین,حسین آباد بالاجوین,565746,4043555,40,57.7344648,36.53512363,1362,1396,1148,1148
34,جوين - سلطان آباد,4740,جوین,خوشاب 2- غرب خوشاب,587661,4032635,40,57.9780163,36.43493307,1372,1396,1180,1180
35,جوين - سلطان آباد,4740,جوین,دلک آباد,546553,4046113,40,57.52021921,36.55931103,1371,1394,1192,1192
36,جوين - سلطان آباد,4740,جوین,دوبرجه,452001,4062469,40,56.46259981,36.70668208,1378,1396,895,895
37,جوين - سلطان آباد,4740,جوین,دوراهی بید و برغمد,552069,4043761,40,57.58169763,36.53782371,1373,1396,1202,1202
38,جوين - سلطان آباد,4740,جوین,ذوب فلزات 1,559313,4042682,40,57.66253763,36.52767485,1362,1396,1185,1185
39,جوين - سلطان آباد,4740,جوین,ذوب فلزات 2,553669,4045611,40,57.59970024,36.55441224,1362,1396,1162,1162
40,جوين - سلطان آباد,4740,جوین,ذوب فلزات 3,541598,4050006,40,57.46506037,36.59463427,1373,1396,1175,1175
41,جوين - سلطان آباد,4740,جوین,ریواده,509997,4071366,40,57.1120458,36.78804704,1375,1396,1034,1034
42,جوين - سلطان آباد,4740,جوین,شرق جاده شیرین,441744,4054557,40,56.34836952,36.63478682,1378,1396,887,887
43,جوين - سلطان آباد,4740,جوین,شرق حکم آباد,554418,4053075,40,57.60859722,36.62165442,1374,1396,1092,1092
44,جوين - سلطان آباد,4740,جوین,شرق خدا شاه,503898,4071985,40,57.04369176,36.79367192,1352,1396,1013,1013
45,جوين - سلطان آباد,4740,جوین,شرق کریم آباد,570512,4046312,40,57.78795478,36.55963619,1374,1396,1114,1114
46,جوين - سلطان آباد,4740,جوین,شرق کمایستان,532402,4058342,40,57.3626043,36.67013852,1371,1396,1116,1116
47,جوين - سلطان آباد,4740,جوین,شمال الله آباد,489493,4067167,40,56.88229603,36.75018853,1372,1393,1061,1061
48,جوين - سلطان آباد,4740,جوین,شمال امیرآباد,456972,4064457,40,56.51814168,36.72484121,1378,1396,904,904
49,جوين - سلطان آباد,4740,جوین,شمال ایستگاه سبزوار,598723,4036594,40,58.10191806,36.46954316,1372,1393,1180,1180
50,جوين - سلطان آباد,4740,جوین,شمال حجت آباد,583277,4040300,40,57.92993584,36.50441637,1374,1396,1144,1144
51,جوين - سلطان آباد,4740,جوین,شمال داشخانه,579534,4034648,40,57.88756198,36.45378695,1363,1396,1209,1209
52,جوين - سلطان آباد,4740,جوین,شمال دهنه شور,596134,4049437,40,58.07462527,36.5855676,1368,1396,1244,1244
53,جوين - سلطان آباد,4740,جوین,شمال راه چمن,498734,4072328,40,56.98580913,36.79677115,1375,1392,1003,1003
54,جوين - سلطان آباد,4740,جوین,شمال رباط جز,590126,4036102,40,58.00591749,36.46595572,1373,1396,1160,1160
55,جوين - سلطان آباد,4740,جوین,شمال سلطان آباد,594280,4030910,40,58.05164257,36.41875656,1373,1394,1191,1191
56,جوين - سلطان آباد,4740,جوین,شمال سیدآباد,602572,4031465,40,58.14419276,36.42290871,1373,1393,1202,1202
57,جوين - سلطان آباد,4740,جوین,شمال عبدل آباد,469606,4067038,40,56.65952077,36.74859675,1378,1396,930,930
58,جوين - سلطان آباد,4740,جوین,شمال غرب دلقند,462559,4065952,40,56.58063398,36.73855487,1378,1396,910,910
59,جوين - سلطان آباد,4740,جوین,شمال کلاته حاج مطلب,568861,4038292,40,57.7687911,36.48746169,1361,1396,1219,1219
60,جوين - سلطان آباد,4740,جوین,عبدل آباد اکراد,587320,4042335,40,57.97530751,36.52239913,1364,1396,1169,1169
61,جوين - سلطان آباد,4740,جوین,علی آباد خرابه,564502,4048312,40,57.72096705,36.57808984,1374,1396,1107,1107
62,جوين - سلطان آباد,4740,جوین,غرب زورآباد,528679,4065708,40,57.32121779,36.73666064,1375,1396,1071,1071
63,جوين - سلطان آباد,4740,جوین,غرب کلاته گز,487578,4072598,40,56.8607549,36.79912447,1375,1396,980,980
64,جوين - سلطان آباد,4740,جوین,غرب کمایستان,526479,4061130,40,57.29641851,36.69545512,1372,1393,1106,1106
65,جوين - سلطان آباد,4740,جوین,غرب نوباغ,515885,4070405,40,57.17801789,36.77930343,1381,1396,1036,1036
66,جوين - سلطان آباد,4740,جوین,قدرآباد - میثم تمار,534045,4062806,40,57.38118901,36.71032274,1384,1393,1076,1076
67,جوين - سلطان آباد,4740,جوین,قلعه نو بیدخور,541210,4045466,40,57.46047964,36.553724,1362,1393,1252,1252
68,جوين - سلطان آباد,4740,جوین,کلاته آقا محمد,538313,4061929,40,57.42893111,36.70225431,1352,1396,1074,1074
69,جوين - سلطان آباد,4740,جوین,کلاته شهیدان,548671,4056196,40,57.54452495,36.65009985,1375,1396,1087,1087
70,جوين - سلطان آباد,4740,جوین,نیم ایستگاه جوین,507445,4066262,40,57.08339333,36.74205912,1362,1396,1056,1056
71,جوين - سلطان آباد,4740,جوین,نیم ایستگاه صالح آباد,546818,4052998,40,57.52359952,36.62136411,1352,1393,1110,1110
72,داورزن,4734,داورزن,اسماعیل آباد,481600,4014602,40,56.79512845,36.27618893,1373,1395,811,811
73,داورزن,4734,داورزن,باقرآباد,498221,4003755,40,56.98021663,36.17857054,1363,1395,822,822
74,داورزن,4734,داورزن,پنج کیلومتری باقرآباد,493332,4004669,40,56.92584075,36.18678953,1363,1395,816,816
75,داورزن,4734,داورزن,تزر,510911,4011220,40,57.12143962,36.24581218,1352,1395,920,920
76,داورزن,4734,داورزن,جنوب صد خرو,505738,4015137,40,57.06389285,36.28117064,1363,1395,930,930
77,داورزن,4734,داورزن,جنوب صد خرو برج,499189,4015428,40,56.99096918,36.28381088,1363,1395,891,891
78,داورزن,4734,داورزن,جنوب صد خرو جنگل,502286,4010118,40,57.02544003,36.23593594,1363,1395,863,863
79,داورزن,4734,داورزن,جنوب کاهک ماشدان,479835,4021447,40,56.77529952,36.33786414,1363,1395,824,824
80,داورزن,4734,داورزن,چشام _خسروآباد,501991,4002928,40,57.02213882,36.17111416,1376,1395,831,831
81,داورزن,4734,داورزن,شرق اسدآباد,495140,4014355,40,56.94588858,36.27412533,1363,1395,866,866
82,داورزن,4734,داورزن,شرق داورزن,492877,4021357,40,56.92062833,36.33723762,1363,1395,904,904
83,داورزن,4734,داورزن,غرب صدخرو جاده تهران,499749,4020108,40,56.99720351,36.32600366,1363,1395,973,973
84,داورزن,4734,داورزن,کاهک_ داورزن,485676,4023381,40,56.84035046,36.35540454,1363,1395,882,882
85,داورزن,4734,داورزن,مقیسه _ بروغن,506941,4001938,40,57.07717131,36.16216581,1352,1395,838,838
86,داورزن,4734,داورزن,مهر,513115,4015685,40,57.14604505,36.28603903,1363,1395,999,999
87,داورزن,4734,داورزن,نیمه عمیق متروکه مزینان,485877,4012617,40,56.84278564,36.25836524,1363,1395,812,812
88,گیسور,5103,گیسور,اکتشافی چاه گچی,735543,3791777,40,59.55752235,34.24045712,1377,1384,885,885
89,گیسور,5103,گیسور,باغ بخشی,731594,3817000,40,59.52148102,34.46859455,1381,1396,849,849
90,گیسور,5103,گیسور,بین چاه بهرامی و کارخانه,710731,3838455,40,59.29982329,34.66639563,1376,1396,902,902
91,گیسور,5103,گیسور,جاده رحمت آباد,712501,3786751,40,59.30628554,34.20012949,1381,1396,959,959
92,گیسور,5103,گیسور,جنگل - راه گیسور به چاه مسیله,720080,3794366,40,59.39041842,34.26717249,1372,1396,870,870
93,گیسور,5103,گیسور,جنوب چاه مسیله,718471,3786610,40,59.37099459,34.19762405,1372,1396,937,937
94,گیسور,5103,گیسور,جنوب غرب چاه مسیله,715221,3789611,40,59.336496,34.2253428,1372,1396,915,915
95,گیسور,5103,گیسور,چاه گچی - اول راه قطار گز,734989,3792608,40,59.55173837,34.24806939,1372,1396,882,882
96,گیسور,5103,گیسور,حوض آجری,713921,3834350,40,59.33357499,34.62874612,1376,1396,885,885
97,گیسور,5103,گیسور,حوض کرم,717245,3832492,40,59.36933183,34.61130608,1376,1393,877,877
98,گیسور,5103,گیسور,راه چاه مسیله به چاه گچی,727892,3790138,40,59.47408497,34.22739389,1372,1396,873,873
99,گیسور,5103,گیسور,راه چاه میقونی,703833,3789086,40,59.21282445,34.22290442,1372,1396,1008,1008
100,گیسور,5103,گیسور,راه قطار گز,731776,3798063,40,59.51834425,34.29793885,1372,1396,863,863
101,گیسور,5103,گیسور,زیر جاده مهاباد به باغ یخ,727659,3810746,40,59.47700983,34.41312327,1381,1396,845,845
102,گیسور,5103,گیسور,شرق آهنگران,708169,3828190,40,59.26936179,34.57442287,1380,1396,876,876
103,گیسور,5103,گیسور,شرق چاه مسیله,725750,3795771,40,59.45232236,34.27861558,1381,1396,852,852
104,گیسور,5103,گیسور,شرق کوده,708756,3834963,40,59.27742302,34.6353345,1376,1396,891,891
105,گیسور,5103,گیسور,شمال راه خشت,735895,3786586,40,59.5599252,34.19360869,1372,1396,871,871
106,گیسور,5103,گیسور,شمال شرقی گیسور,713251,3796941,40,59.31693576,34.29180005,1372,1396,886,886
107,گیسور,5103,گیسور,قطار گز - از قطار گز به کو,728549,3802513,40,59.48449259,34.3387487,1381,1396,851,851
108,گیسور,5103,گیسور,کنار راه حوض کرم (خانه دامداری),716385,3836475,40,59.36097651,34.64737592,1376,1396,893,893
109,گیسور,5103,گیسور,کنار گورستان گیسور,709045,3793815,40,59.2705123,34.26448587,1372,1396,924,924
