INDEX,MAHDOUDE_NAME,MAHDOUDE_CODE,AQUIFER_NAME,LOCATION_NAME,X,Y,ZONEUTM,X_,Y_,MIN_YEAR,MAX_YEAR,LEVEL_MSL,LEVEL_SRTM
50,جوين - سلطان آباد,4740,جوین,حاجی آباد بزازان,544222,4059190,40,57.49492465,36.67730671,1375,1396,1076,1076
51,جوين - سلطان آباد,4740,جوین,حسین آباد بالاجوین,565746,4043555,40,57.7344648,36.53512363,1362,1396,1148,1148
52,جوين - سلطان آباد,4740,جوین,خوشاب 2- غرب خوشاب,587661,4032635,40,57.9780163,36.43493307,1372,1396,1180,1180
53,جوين - سلطان آباد,4740,جوین,دلک آباد,546553,4046113,40,57.52021921,36.55931103,1371,1394,1192,1192
54,جوين - سلطان آباد,4740,جوین,دوبرجه,452001,4062469,40,56.46259981,36.70668208,1378,1396,895,895
55,جوين - سلطان آباد,4740,جوین,دوراهی بید و برغمد,552069,4043761,40,57.58169763,36.53782371,1373,1396,1202,1202
56,جوين - سلطان آباد,4740,جوین,ذوب فلزات 1,559313,4042682,40,57.66253763,36.52767485,1362,1396,1185,1185
57,جوين - سلطان آباد,4740,جوین,ذوب فلزات 2,553669,4045611,40,57.59970024,36.55441224,1362,1396,1162,1162
58,جوين - سلطان آباد,4740,جوین,ذوب فلزات 3,541598,4050006,40,57.46506037,36.59463427,1373,1396,1175,1175
59,جوين - سلطان آباد,4740,جوین,ریواده,509997,4071366,40,57.1120458,36.78804704,1375,1396,1034,1034
60,جوين - سلطان آباد,4740,جوین,شرق جاده شیرین,441744,4054557,40,56.34836952,36.63478682,1378,1396,887,887
61,جوين - سلطان آباد,4740,جوین,شرق حکم آباد,554418,4053075,40,57.60859722,36.62165442,1374,1396,1092,1092
62,جوين - سلطان آباد,4740,جوین,شرق خدا شاه,503898,4071985,40,57.04369176,36.79367192,1352,1396,1013,1013
63,جوين - سلطان آباد,4740,جوین,شرق کریم آباد,570512,4046312,40,57.78795478,36.55963619,1374,1396,1114,1114
64,جوين - سلطان آباد,4740,جوین,شرق کمایستان,532402,4058342,40,57.3626043,36.67013852,1371,1396,1116,1116
65,جوين - سلطان آباد,4740,جوین,شمال الله آباد,489493,4067167,40,56.88229603,36.75018853,1372,1393,1061,1061
66,جوين - سلطان آباد,4740,جوین,شمال امیرآباد,456972,4064457,40,56.51814168,36.72484121,1378,1396,904,904
67,جوين - سلطان آباد,4740,جوین,شمال ایستگاه سبزوار,598723,4036594,40,58.10191806,36.46954316,1372,1393,1180,1180
68,جوين - سلطان آباد,4740,جوین,شمال حجت آباد,583277,4040300,40,57.92993584,36.50441637,1374,1396,1144,1144
69,جوين - سلطان آباد,4740,جوین,شمال داشخانه,579534,4034648,40,57.88756198,36.45378695,1363,1396,1209,1209
70,جوين - سلطان آباد,4740,جوین,شمال دهنه شور,596134,4049437,40,58.07462527,36.5855676,1368,1396,1244,1244
71,جوين - سلطان آباد,4740,جوین,شمال راه چمن,498734,4072328,40,56.98580913,36.79677115,1375,1392,1003,1003
72,جوين - سلطان آباد,4740,جوین,شمال رباط جز,590126,4036102,40,58.00591749,36.46595572,1373,1396,1160,1160
73,جوين - سلطان آباد,4740,جوین,شمال سلطان آباد,594280,4030910,40,58.05164257,36.41875656,1373,1394,1191,1191
74,جوين - سلطان آباد,4740,جوین,شمال سیدآباد,602572,4031465,40,58.14419276,36.42290871,1373,1393,1202,1202
75,جوين - سلطان آباد,4740,جوین,شمال عبدل آباد,469606,4067038,40,56.65952077,36.74859675,1378,1396,930,930
76,جوين - سلطان آباد,4740,جوین,شمال غرب دلقند,462559,4065952,40,56.58063398,36.73855487,1378,1396,910,910
77,جوين - سلطان آباد,4740,جوین,شمال کلاته حاج مطلب,568861,4038292,40,57.7687911,36.48746169,1361,1396,1219,1219
78,جوين - سلطان آباد,4740,جوین,عبدل آباد اکراد,587320,4042335,40,57.97530751,36.52239913,1364,1396,1169,1169
79,جوين - سلطان آباد,4740,جوین,علی آباد خرابه,564502,4048312,40,57.72096705,36.57808984,1374,1396,1107,1107
80,جوين - سلطان آباد,4740,جوین,غرب زورآباد,528679,4065708,40,57.32121779,36.73666064,1375,1396,1071,1071
81,جوين - سلطان آباد,4740,جوین,غرب کلاته گز,487578,4072598,40,56.8607549,36.79912447,1375,1396,980,980
82,جوين - سلطان آباد,4740,جوین,غرب کمایستان,526479,4061130,40,57.29641851,36.69545512,1372,1393,1106,1106
83,جوين - سلطان آباد,4740,جوین,غرب نوباغ,515885,4070405,40,57.17801789,36.77930343,1381,1396,1036,1036
84,جوين - سلطان آباد,4740,جوین,قدرآباد - میثم تمار,534045,4062806,40,57.38118901,36.71032274,1384,1393,1076,1076
85,جوين - سلطان آباد,4740,جوین,قلعه نو بیدخور,541210,4045466,40,57.46047964,36.553724,1362,1393,1252,1252
86,جوين - سلطان آباد,4740,جوین,کلاته آقا محمد,538313,4061929,40,57.42893111,36.70225431,1352,1396,1074,1074
87,جوين - سلطان آباد,4740,جوین,کلاته شهیدان,548671,4056196,40,57.54452495,36.65009985,1375,1396,1087,1087
88,جوين - سلطان آباد,4740,جوین,نیم ایستگاه جوین,507445,4066262,40,57.08339333,36.74205912,1362,1396,1056,1056
89,جوين - سلطان آباد,4740,جوین,نیم ایستگاه صالح آباد,546818,4052998,40,57.52359952,36.62136411,1352,1393,1110,1110
90,داورزن,4734,داورزن,اسماعیل آباد,481600,4014602,40,56.79512845,36.27618893,1373,1395,811,811
91,داورزن,4734,داورزن,باقرآباد,498221,4003755,40,56.98021663,36.17857054,1363,1395,822,822
92,داورزن,4734,داورزن,پنج کیلومتری باقرآباد,493332,4004669,40,56.92584075,36.18678953,1363,1395,816,816
93,داورزن,4734,داورزن,تزر,510911,4011220,40,57.12143962,36.24581218,1352,1395,920,920
94,داورزن,4734,داورزن,جنوب صد خرو,505738,4015137,40,57.06389285,36.28117064,1363,1395,930,930
95,داورزن,4734,داورزن,جنوب صد خرو برج,499189,4015428,40,56.99096918,36.28381088,1363,1395,891,891
96,داورزن,4734,داورزن,جنوب صد خرو جنگل,502286,4010118,40,57.02544003,36.23593594,1363,1395,863,863
97,داورزن,4734,داورزن,جنوب کاهک ماشدان,479835,4021447,40,56.77529952,36.33786414,1363,1395,824,824
98,داورزن,4734,داورزن,چشام _خسروآباد,501991,4002928,40,57.02213882,36.17111416,1376,1395,831,831
99,داورزن,4734,داورزن,شرق اسدآباد,495140,4014355,40,56.94588858,36.27412533,1363,1395,866,866
100,داورزن,4734,داورزن,شرق داورزن,492877,4021357,40,56.92062833,36.33723762,1363,1395,904,904
